dataset,ipc,num_classes,full_acc,full_auc_f1,rand_acc,rand_auc_f1,herd_acc,herd_auc_f1,dm_acc,dm_auc_f1
adult,5,2,,0.8947431549503225,,0.7569141812559371,,0.8491940926119579,,0.7536901218701202
bank,10,2,,0.9154635537156498,,0.6922152571854621,,0.8460647799654558,,0.6888001057845226
credit,10,2,,0.7701367685353285,,0.6701360235462397,,0.692126095707029,,0.6700188310318901
airlines,10,>2,0.6545211845552974,0.6343524640790417,0.505771987936916,0.5054802950899576,0.6133386068126762,0.6120058055515483,0.5718223167053937,0.5654666391932779
covertype,10,>2,0.9102602349917386,0.8682516280804994,0.33396823939783365,0.28041196820186737,0.5147902515145952,0.355656516795949,0.47527308610244173,0.3658165055531966
drybean,10,>2,0.9799216454456415,0.9568661372510121,0.7957884427032321,0.682433565663165,0.827130264446621,0.7122218676742323,0.7693437806072478,0.667800467234505
higgs,10,>2,0.7081180310035355,0.7042174927386329,0.49884416644003265,0.4961626369848188,0.585123742181126,0.5842139555673167,0.5220968180581996,0.5062244170344201
